ts,open,high,low,close
2026-03-30 20:30:00+00:00,22411.43,22417.43,22400.43,22417.43
2026-03-30 20:45:00+00:00,22416.43,22422.36,22406.36,22421.36
2026-03-31 00:15:00+00:00,22338.6,22338.6,22287.83,22332.83
2026-03-31 00:30:00+00:00,22332.83,22453.33,22311.83,22450.6
2026-03-31 00:45:00+00:00,22451.1,22563.63,22446.33,22524.6
2026-03-31 01:00:00+00:00,22524.6,22548.1,22463.1,22499.6
2026-03-31 01:15:00+00:00,22498.6,22639.63,22492.83,22638.33
2026-03-31 01:30:00+00:00,22638.33,22725.43,22633.33,22707.1
2026-03-31 01:45:00+00:00,22706.6,22718.6,22680.33,22682.83
2026-03-31 02:00:00+00:00,22682.83,22694.33,22648.83,22669.1
2026-03-31 02:15:00+00:00,22669.1,22701.33,22668.1,22676.33
2026-03-31 02:30:00+00:00,22674.83,22688.23,22648.33,22669.33
2026-03-31 02:45:00+00:00,22667.83,22710.83,22647.83,22648.33
2026-03-31 03:00:00+00:00,22648.33,22693.83,22638.83,22671.33
2026-03-31 03:15:00+00:00,22670.33,22670.83,22627.83,22631.33
2026-03-31 03:30:00+00:00,22632.33,22644.63,22608.83,22611.33
2026-03-31 03:45:00+00:00,22611.33,22620.33,22584.83,22590.83
2026-03-31 04:00:00+00:00,22591.33,22606.33,22589.83,22592.83
2026-03-31 04:15:00+00:00,22592.83,22610.63,22579.33,22583.33
2026-03-31 04:30:00+00:00,22583.33,22601.33,22576.83,22584.6
2026-03-31 04:45:00+00:00,22585.33,22592.33,22559.83,22561.63
2026-03-31 05:00:00+00:00,22560.23,22572.33,22514.33,22514.33
2026-03-31 05:15:00+00:00,22514.33,22594.63,22500.33,22581.33
2026-03-31 05:30:00+00:00,22581.33,22650.23,22574.83,22643.33
2026-03-31 05:45:00+00:00,22643.33,22724.33,22643.33,22673.63
2026-03-31 06:00:00+00:00,22668.33,22688.63,22597.03,22616.38
2026-03-31 06:15:00+00:00,22616.38,22665.38,22598.38,22647.53
2026-03-31 06:30:00+00:00,22647.53,22649.13,22578.88,22581.13
2026-03-31 06:45:00+00:00,22581.13,22613.88,22568.13,22584.88
2026-03-31 07:00:00+00:00,22587.53,22595.88,22491.88,22507.88
2026-03-31 07:15:00+00:00,22508.88,22549.88,22480.88,22548.88
2026-03-31 07:30:00+00:00,22547.88,22659.88,22546.88,22659.88
2026-03-31 07:45:00+00:00,22659.88,22738.88,22654.88,22737.88
2026-03-31 08:00:00+00:00,22737.88,22768.88,22697.88,22702.88
2026-03-31 08:15:00+00:00,22702.88,22747.88,22695.88,22712.88
2026-03-31 08:30:00+00:00,22712.88,22722.88,22667.88,22673.88
2026-03-31 08:45:00+00:00,22673.88,22709.88,22654.53,22682.88
2026-03-31 09:00:00+00:00,22680.88,22745.88,22674.13,22711.88
2026-03-31 09:15:00+00:00,22712.88,22741.88,22691.88,22712.88
2026-03-31 09:30:00+00:00,22712.88,22733.88,22685.88,22730.88
2026-03-31 09:45:00+00:00,22730.88,22754.88,22700.88,22725.88
2026-03-31 10:00:00+00:00,22724.88,22779.68,22723.88,22731.88
2026-03-31 10:15:00+00:00,22731.88,22735.88,22695.08,22721.88
2026-03-31 10:30:00+00:00,22721.88,22726.88,22621.88,22630.88
2026-03-31 10:45:00+00:00,22630.88,22704.38,22613.88,22696.38
2026-03-31 11:00:00+00:00,22696.38,22854.13,22670.38,22754.03
2026-03-31 11:15:00+00:00,22754.03,22797.38,22726.03,22737.38
2026-03-31 11:30:00+00:00,22737.38,22771.38,22703.38,22763.38
2026-03-31 11:45:00+00:00,22764.38,22764.38,22712.38,22751.38
2026-03-31 12:00:00+00:00,22751.38,22813.38,22696.38,22700.38
2026-03-31 12:15:00+00:00,22700.38,22807.13,22688.03,22802.13
