date,signal_time,h4b,h1b,hdb,h4_slope,orb_range_atr,asian_range_atr,breaks_asian_lo,breaks_pdl,pre_frb_mom,ret4bar,dow,month,adr_at_frb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2021-12-02,2021-12-02 15:00:00,-1,-1,-1,-1,2.753281029528561,9.670145285455554,1,0,-0.5551439300500676,-1.7254151521836119,3,12,7.001011153274644,1777.78003,1782.64001,1774.7999300000001,4.859980000000178,2.9800999999997657,16,1,>1.0
2021-12-04,2021-12-04 07:45:00,-1,1,-1,1,1.3036165866907472,8.035882577099517,0,0,-0.049099688984026515,-0.4598444517160549,5,12,10.319304885786321,1783.030029,1786.65002,1780.30994,3.6199910000000273,2.7200889999999163,17,0,>1.0
2021-12-07,2021-12-07 14:45:00,-1,1,-1,1,1.2155892463202165,7.7509962877347265,0,0,-0.36214544585832203,-2.1985739315553614,1,12,6.010091224461475,1777.71997,1780.07996,1776.76012,2.359989999999925,0.9598500000001877,8,0,>1.0
2021-12-10,2021-12-10 07:30:00,-1,-1,-1,-1,0.4960099194858978,7.0894853513177285,0,0,-1.589988771243026,-0.24795755051598328,4,12,7.893256837383851,1775.62,1777.13,1775.2698999999998,1.5100000000002183,0.3501000000001113,2,1,0.3-0.5
2021-12-15,2021-12-15 08:45:00,-1,-1,-1,-1,1.9419790874986893,22.180240862877277,0,1,1.029475983439719,-0.3158817570804508,2,12,12.166448494750023,1770.91003,1773.18005,1769.35999,2.2700199999999313,1.550040000000081,7,0,>1.0
2021-12-22,2021-12-22 16:00:00,-1,-1,1,-1,2.0402283400659758,20.78046761971361,0,1,-0.16212276642195397,-1.28351130896193,2,12,11.044922457289161,1787.76001,1790.18005,1786.66003,2.4200399999999718,1.0999799999999595,8,1,>1.0
2021-12-30,2021-12-30 11:45:00,-1,1,1,1,0.8142113499498476,11.93087028842932,0,0,0.1406688966319272,-0.8289369543243852,3,12,14.260497848795548,1803.51001,1805.68005,1802.9798620000001,2.1700399999999718,0.5301479999998264,1,1,0.7-1.0
2022-01-06,2022-01-06 12:00:00,-1,-1,-1,-1,2.6797012620777094,10.115343869796,1,0,-6.441894102476085,-0.02367941084745178,3,1,7.650308827506771,1809.34998,1814.77002,1805.2099600000001,5.420039999999972,4.140019999999822,16,1,>1.0
2022-01-08,2022-01-08 07:30:00,-1,1,-1,-1,1.4023602073861565,9.437819331947521,0,0,0.1597037882684717,-1.4201270319381034,5,1,11.406679676020635,1794.78003,1797.93994,1792.6999520000002,3.1599100000000817,2.0800779999997303,10,1,>1.0
2022-01-15,2022-01-15 08:00:00,-1,-1,1,-1,1.499626754074034,8.693899613478441,0,0,0.6890405193272521,-0.7498099994536481,5,1,10.634268869316418,1816.56006,1819.44995,1814.5100100000002,2.889889999999923,2.0500499999998283,12,1,>1.0
2022-01-19,2022-01-19 07:30:00,-1,-1,1,-1,1.0347009129640832,7.8012338545294755,0,0,0.2901675775379266,-1.2043791179375463,2,1,9.304216120476255,1813.42004,1815.82996,1811.54992,2.4099200000000565,1.8701200000000426,21,1,>1.0
2022-01-27,2022-01-27 13:00:00,-1,-1,1,-1,2.266263992691322,14.608760737167609,1,1,-4.311324345999056,-1.3633735688717543,3,1,13.558136338631764,1815.079956,1821.15002,1810.6099800000002,6.070064000000002,4.4699759999998605,19,1,>1.0
2022-01-28,2022-01-28 20:00:00,-1,-1,1,-1,1.540387981873906,11.640176893188729,1,1,-0.9329626228058828,-1.6467840039057424,4,1,7.372824121584976,1791.12,1795.29004,1789.86988,4.170040000000199,1.2501199999999244,6,1,>1.0
2022-02-01,2022-02-01 14:30:00,-1,1,-1,-1,2.54911677054449,10.166210533195963,0,0,0.6145918186203984,-1.9143549268136275,1,2,5.903387544849096,1796.030029,1799.79004,1794.2299799999998,3.760011000000077,1.8000490000001719,6,0,>1.0
2022-02-02,2022-02-02 16:00:00,-1,-1,-1,-1,2.86524972883428,14.420305069394086,1,0,-1.8832929012585364,-1.0761988878252773,2,2,9.017785068164876,1797.58997,1801.29004,1796.53002,3.700070000000096,1.0599500000000717,9,1,>1.0
2022-02-04,2022-02-04 07:45:00,-1,1,-1,1,0.9334866745118529,13.95771536988083,0,0,-0.20746206257368205,0.0,4,2,13.821336063039043,1805.15002,1806.92004,1803.90002,1.7700199999999313,1.25,13,0,0.7-1.0
2022-02-16,2022-02-16 11:00:00,-1,-1,1,1,2.911282143768821,9.553427482112257,0,0,-0.5385978895676266,-1.3347324565858996,2,2,6.933293091598249,1852.18994,1856.81995,1848.85999,4.630010000000084,3.3299500000000535,28,0,>1.0
2022-02-26,2022-02-26 08:00:00,-1,-1,1,-1,1.0380657083857396,6.477049805896693,0,0,1.6792108551739617,-1.3477259431420228,5,2,7.226270977100623,1888.98999,1893.42004,1888.1600400000002,4.430049999999937,0.8299499999998261,1,1,>1.0
2022-03-03,2022-03-03 08:00:00,-1,1,1,1,1.5568022477930694,5.908346087814888,0,0,2.088169569930273,-1.6084835843942873,3,3,6.49345824328498,1926.15002,1933.87,1922.5299,7.71997999999985,3.6201200000000426,28,1,>1.0
2022-03-10,2022-03-10 11:15:00,-1,-1,1,-1,2.094347100342234,8.265530312865303,0,1,1.5123093972884045,-1.5222713198965672,3,3,5.943188595465681,1985.69995,1995.95996,1978.620118,10.260009999999966,7.079831999999897,3,1,>1.0
2022-03-11,2022-03-11 12:00:00,-1,-1,1,-1,1.9686162347242426,8.20345777731753,0,0,-0.47845314694108104,-0.883739280786774,4,3,3.1540868903490207,1991.33997,2003.29004,1989.86988,11.950070000000096,1.4700900000000274,1,1,>1.0
2022-03-15,2022-03-15 07:45:00,-1,-1,1,-1,1.0529819527854631,5.436893306275778,0,1,0.7265800110369631,-0.8318522327607236,1,3,3.3770130992378333,1950.78003,1954.69995,1948.19995,3.9199200000000474,2.5800799999999526,7,0,>1.0
2022-03-17,2022-03-17 07:30:00,-1,-1,-1,-1,0.9077679668597582,6.086390904582236,0,0,2.085388169192665,-0.2984096254494381,3,3,7.2009830008391456,1922.93005,1930.129559964821,1919.41003,7.199509964821118,3.5200199999999313,15,0,0.7-1.0
2022-03-22,2022-03-22 07:30:00,-1,1,-1,-1,0.7915704699345131,7.2774752933950095,0,0,-0.205227885601086,-1.1629788669534817,1,3,8.042963859855787,1934.079956,1937.23999,1931.88013,3.160033999999996,2.19982600000003,12,1,0.7-1.0
2022-03-23,2022-03-23 09:15:00,-1,-1,-1,-1,1.0833579329988678,11.080136259455829,0,0,-0.8489581182476897,-0.20276851001995289,2,3,5.834479269633008,1920.48999,1922.80005,1918.87989,2.3100600000000213,1.6101000000001022,8,1,>1.0
2022-03-29,2022-03-29 19:15:00,-1,-1,1,-1,1.8913861742385747,11.135330324250813,1,1,-3.5219019321615845,-1.595749239455236,1,3,4.341820758607249,1916.48999,1923.88,1914.680058,7.390010000000075,1.8099320000001171,1,1,>1.0
2022-03-31,2022-03-31 07:45:00,-1,1,-1,1,1.4815047732788902,9.15285818603944,0,0,0.9014795356301976,-0.9818745480724067,3,3,5.621332657913157,1932.62,1936.530029,1930.8698709999999,3.9100290000001223,1.7501290000000154,9,1,>1.0
2022-10-12,2022-10-12 10:00:00,-1,-1,-1,-1,1.0969689466847337,13.972816618604956,0,0,-0.6033473185739193,-0.575977601232866,2,10,7.06613888337236,1665.70996,1668.03003,1664.33007,2.320069999999987,1.3798899999999321,3,1,>1.0
2022-10-13,2022-10-13 07:30:00,-1,1,-1,-1,1.326777796357246,5.630904590807138,0,0,1.3112765394579569,-1.0644515233166951,3,10,1.8801324299538815,1672.78003,1676.16003,1670.499882,3.380000000000109,2.2801479999998264,19,1,>1.0
2022-10-14,2022-10-14 11:15:00,-1,-1,-1,-1,1.9034520688782932,19.52795460746487,0,0,-2.14381563451189,-1.091412995791577,4,10,7.54666743571368,1662.69995,1666.88,1660.5198999999998,4.180050000000165,2.180050000000165,3,1,>1.0
2022-10-19,2022-10-19 13:30:00,-1,1,-1,-1,0.872479183671353,7.412554686963313,0,0,0.7007345692690579,-1.4014691385381157,2,10,3.37423151405537,1650.46997,1652.560059,1649.5200210000003,2.090088999999807,0.9499489999998332,5,1,0.7-1.0
