date,ts,bias,sw_q,a_hi,a_lo,a_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,win,bars_held,exit_ts,mfe,mfe_r,dow,year
2024-05-10 00:00:00+00:00,2024-05-10 14:15:00+00:00,-1,clean_hi,63236.96,62660.42,576.5400000000009,62628.37,62915.99,287.61999999999534,62212.79,62950.86305533205,60736.64388933591,738.0730553320464,232.48703554699222,True,,2024-05-10 14:45:00+00:00,1476.1461106640927,2.0,4,2024
2024-05-19 00:00:00+00:00,2024-05-19 12:30:00+00:00,-1,clean_hi,67294.35,66837.39,456.9600000000064,67056.07,67207.0,150.92999999999302,66986.91,67235.46276190193,66489.80447619615,248.55276190192671,189.75174601288856,True,,2024-05-19 19:00:00+00:00,497.10552380385343,2.0,6,2024
2024-05-23 00:00:00+00:00,2024-05-23 13:00:00+00:00,-1,clean_hi,69675.0,69166.61,508.3899999999994,69558.07,69829.0,270.929999999993,69399.34,69863.62621882299,68470.76756235401,464.28621882299194,230.84145881994237,True,,2024-05-23 13:45:00+00:00,928.5724376459839,2.0,3,2024
2024-05-24 00:00:00+00:00,2024-05-24 14:30:00+00:00,1,clean_lo,68017.56,66816.21,1201.3499999999913,67289.51,67723.55,434.04000000000815,67731.99,67249.90162704849,68696.16674590304,482.088372951519,264.05581967670753,True,,2024-05-24 17:30:00+00:00,964.176745903038,2.0,4,2024
2024-05-30 00:00:00+00:00,2024-05-30 14:00:00+00:00,1,clean_lo,68422.89,67471.67,951.2200000000012,68255.72,68480.0,224.27999999999884,68480.01,68221.3408609465,68997.34827810699,258.66913905349793,229.19426035668994,False,,2024-05-30 15:00:00+00:00,303.99000000000524,1.1752078392974976,3,2024
2024-06-20 00:00:00+00:00,2024-06-20 13:30:00+00:00,-1,clean_hi,65635.83,64818.72,817.1100000000006,65482.41,65757.71,275.3000000000029,65399.9,65792.52389321268,64614.65221357464,392.62389321267983,232.09262141784183,True,,2024-06-20 16:00:00+00:00,785.2477864253597,2.0,3,2024
2024-07-16 00:00:00+00:00,2024-07-16 15:15:00+00:00,1,clean_lo,64993.95,62794.0,2199.949999999997,63898.71,64131.99,233.27999999999884,64504.01,63845.07429131123,65821.88141737753,658.9357086887685,357.5713912584175,False,,2024-07-16 20:00:00+00:00,695.989999999998,1.0562335457353869,1,2024
2024-07-21 00:00:00+00:00,2024-07-21 14:15:00+00:00,1,clean_lo,67436.22,66611.09,825.1300000000047,66789.4,66950.0,160.60000000000582,67108.0,66768.69609883777,67786.60780232446,339.30390116223134,138.02600774815716,False,,2024-07-21 17:45:00+00:00,605.0,1.7830623164887556,6,2024
2024-08-07 00:00:00+00:00,2024-08-07 14:30:00+00:00,-1,clean_hi,57287.99,55557.88,1730.1100000000006,56307.42,56564.0,256.58000000000175,55932.01,56617.76762050297,54560.494758994064,685.7576205029691,358.45080335314714,False,,2024-08-07 20:00:00+00:00,1260.020000000004,1.8374130484701607,2,2024
2024-08-11 00:00:00+00:00,2024-08-11 11:15:00+00:00,-1,clean_hi,61382.73,60881.36,501.3700000000026,60774.36,61021.73,247.37000000000262,60670.01,61052.79979449586,59904.43041100828,382.7897944958604,207.13196330571432,True,,2024-08-11 19:15:00+00:00,765.5795889917208,2.0,6,2024
